Código Município Completo,Nome_Município,UF,CAPAG,Indicador 1,Nota 1,Indicador 2,Nota 2,Indicador 3,Nota 3,ICF
1400027,Amajari,RR,n.d.,"13,71%",A,"100,64%",C,n.d.,n.d.,Bicf
1400050,Alto Alegre,RR,n.d.,"32,37%",A,"101,53%",C,n.d.,n.d.,Cicf
1400100,Boa Vista,RR,A,"7,96%",A,"83,59%",A,"0,52%",B,Bicf
1400159,Bonfim,RR,C,"31,89%",A,"99,38%",C,"-18,97%",C,Bicf
1400175,Cantá,RR,C,"55,90%",A,"94,05%",B,"-1,71%",C,Bicf
1400209,Caracaraí,RR,C,"56,59%",A,"73,08%",A,"-4,03%",C,Cicf
1400233,Caroebe,RR,C,"24,35%",A,"104,14%",C,"-20,41%",C,Bicf
1400282,Iracema,RR,n.d.,"11,55%",A,n.d.,n.d.,"-45,22%",C,Cicf
1400308,Mucajaí,RR,n.d.,"31,41%",A,n.d.,n.d.,"-14,39%",C,Bicf
1400407,Normandia,RR,n.d.,"12,95%",A,n.d.,n.d.,"0,86%",B,Cicf
1400456,Pacaraima,RR,n.d.,"14,84%",A,"94,86%",B,n.d.,n.d.,Dicf
1400472,Rorainópolis,RR,C,"4,18%",A,"111,88%",C,"-67,57%",C,Bicf
1400506,São João da Baliza,RR,n.d.,"43,66%",A,"99,59%",C,n.d.,n.d.,Bicf
1400605,São Luiz,RR,C,"4,20%",A,"110,16%",C,"-20,27%",C,Bicf
1400704,Uiramutã,RR,B,"16,53%",A,"90,66%",B,"1,88%",B,Cicf
1500107,Abaetetuba,PA,B,"1,18%",A,"94,57%",B,"0,65%",B,Cicf
1500131,Abel Figueiredo,PA,B,"5,95%",A,"94,69%",B,"2,42%",B,Bicf
1500206,Acará,PA,C,"1,32%",A,"95,50%",C,"0,37%",B,Bicf
1500305,Afuá,PA,C,"2,46%",A,"90,66%",B,"-18,78%",C,Cicf
1500347,Água Azul do Norte,PA,B,"7,60%",A,"92,86%",B,"0,68%",B,Bicf
1500404,Alenquer,PA,C,"2,08%",A,"94,16%",B,"-14,42%",C,Bicf
1500503,Almeirim,PA,C,"20,71%",A,"100,77%",C,"-5,36%",C,Bicf
1500602,Altamira,PA,C,"3,58%",A,"101,03%",C,"1,70%",B,Bicf
1500701,Anajás,PA,C,"5,87%",A,"99,78%",C,"-6,72%",C,Bicf
1500800,Ananindeua,PA,n.d.,"39,68%",A,"86,25%",B,n.d.,n.d.,Cicf
1500859,Anapu,PA,C,"2,13%",A,"91,82%",B,"-13,49%",C,Bicf
1500909,Augusto Corrêa,PA,C,"2,80%",A,"86,19%",B,"-0,70%",C,Bicf
1500958,Aurora do Pará,PA,C,"7,10%",A,"98,07%",C,"-2,74%",C,Bicf
1501006,Aveiro,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Cicf
1501105,Bagre,PA,n.d.,"20,75%",A,"100,89%",C,n.d.,n.d.,Bicf
1501204,Baião,PA,C,"2,87%",A,"98,26%",C,"-12,18%",C,Bicf
1501253,Bannach,PA,n.d.,"4,22%",A,n.d.,n.d.,"7,19%",A,Bicf
1501303,Barcarena,PA,A,"4,41%",A,"72,73%",A,"3,52%",B,Bicf
1501402,Belém,PA,A,"36,72%",A,"90,60%",B,"12,82%",A,Dicf
1501451,Belterra,PA,C,"25,81%",A,"89,01%",B,"0,00%",C,Bicf
1501501,Benevides,PA,A,"6,68%",A,"91,84%",B,"11,45%",A,Bicf
1501576,Bom Jesus do Tocantins,PA,C,"0,00%",A,"99,77%",C,"-14,35%",C,Bicf
1501600,Bonito,PA,n.e.,"0,00%",A,"97,17%",C,"-1,15%",C,Eicf
1501709,Bragança,PA,C,"0,02%",A,"103,00%",C,"-35,95%",C,Bicf
1501725,Brasil Novo,PA,A,"0,00%",A,"84,25%",A,"4,92%",B,Bicf
1501758,Brejo Grande do Araguaia,PA,n.d.,"1,32%",A,n.d.,n.d.,n.d.,n.d.,Bicf
1501782,Breu Branco,PA,B,"13,03%",A,"94,48%",B,"3,06%",B,Bicf
1501808,Breves,PA,B,"0,00%",A,"93,16%",B,"3,70%",B,Cicf
1501907,Bujaru,PA,C,"49,51%",A,"87,50%",B,"-0,42%",C,Cicf
1501956,Cachoeira do Piriá,PA,A,"0,09%",A,"91,97%",B,"21,08%",A,Bicf
1502004,Cachoeira do Arari,PA,n.d.,"1,95%",A,"100,94%",C,n.d.,n.d.,Cicf
1502103,Cametá,PA,C,"0,15%",A,"104,57%",C,"-11,30%",C,Dicf
1502152,Canaã dos Carajás,PA,A,"0,38%",A,"71,70%",A,"14,68%",A,Bicf
1502202,Capanema,PA,C,"18,27%",A,"96,54%",C,"-1,67%",C,Bicf
1502301,Capitão Poço,PA,C,"0,73%",A,"103,82%",C,"-38,13%",C,Bicf
1502400,Castanhal,PA,C,"0,26%",A,"101,60%",C,"-41,48%",C,Bicf
1502509,Chaves,PA,n.e.,"1,82%",A,"108,85%",C,"-12,58%",C,Eicf
1502608,Colares,PA,C,"2,75%",A,"96,58%",C,"-12,14%",C,Bicf
1502707,Conceição do Araguaia,PA,C,"29,68%",A,"100,97%",C,"-10,04%",C,Cicf
1502756,Concórdia do Pará,PA,n.e.,n.d.,n.d.,"99,79%",C,n.d.,n.d.,Eicf
1502764,Cumaru do Norte,PA,n.d.,"6,27%",A,"88,39%",B,n.d.,n.d.,Cicf
1502772,Curionópolis,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1502806,Curralinho,PA,C,"6,23%",A,"94,20%",B,"-3,75%",C,Bicf
1502855,Curuá,PA,C,"0,45%",A,"98,07%",C,"-1,86%",C,Bicf
1502905,Curuçá,PA,n.e.,"11,78%",A,n.d.,n.d.,"-18,06%",C,Eicf
1502939,Dom Eliseu,PA,C,"55,91%",A,"92,71%",B,"-7,48%",C,Bicf
1502954,Eldorado do Carajás,PA,C,"34,60%",A,"97,65%",C,"-1,29%",C,Bicf
1503002,Faro,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Cicf
1503044,Floresta do Araguaia,PA,C,"0,55%",A,"100,80%",C,"-0,53%",C,Bicf
1503077,Garrafão do Norte,PA,C,"0,00%",A,"98,45%",C,"-3,79%",C,Bicf
1503093,Goianésia do Pará,PA,C,"20,99%",A,"103,00%",C,"-24,84%",C,Bicf
1503101,Gurupá,PA,n.d.,"0,00%",A,"102,19%",C,n.d.,n.d.,Cicf
1503200,Igarapé-Açu,PA,C,"36,00%",A,"99,44%",C,"-21,58%",C,Bicf
1503309,Igarapé-Miri,PA,n.d.,"2,50%",A,"93,31%",B,n.d.,n.d.,Dicf
1503408,Inhangapi,PA,C,"11,88%",A,"100,73%",C,"-2,48%",C,Bicf
1503457,Ipixuna do Pará,PA,D,"258,09%",C,"99,54%",C,"-12,39%",C,Bicf
1503507,Irituia,PA,C,"1,64%",A,"103,12%",C,"-29,90%",C,Bicf
1503606,Itaituba,PA,n.d.,n.d.,n.d.,"90,63%",B,n.d.,n.d.,Cicf
1503705,Itupiranga,PA,C,"20,87%",A,"98,79%",C,"-3,35%",C,Bicf
1503754,Jacareacanga,PA,n.d.,n.d.,n.d.,"97,34%",C,n.d.,n.d.,Bicf
1503804,Jacundá,PA,C,"0,20%",A,"103,18%",C,"-7,39%",C,Bicf
1503903,Juruti,PA,C,"51,02%",A,"96,05%",C,"-19,47%",C,Bicf
1504000,Limoeiro do Ajuru,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1504059,Mãe do Rio,PA,C,"20,11%",A,"95,04%",C,"-13,89%",C,Bicf
1504109,Magalhães Barata,PA,C,"0,17%",A,"96,09%",C,"-20,16%",C,Bicf
1504208,Marabá,PA,A,"14,54%",A,"84,91%",A,"9,54%",A,Bicf
1504307,Maracanã,PA,C,"22,36%",A,"100,60%",C,"-13,83%",C,Cicf
1504406,Marapanim,PA,C,"0,80%",A,"95,85%",C,"-0,68%",C,Cicf
1504422,Marituba,PA,C,"16,37%",A,"94,70%",B,"-4,37%",C,Bicf
1504455,Medicilândia,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1504505,Melgaço,PA,n.d.,"51,96%",A,"101,50%",C,n.d.,n.d.,Cicf
1504604,Mocajuba,PA,C,"65,78%",B,"102,25%",C,"-52,10%",C,Bicf
1504703,Moju,PA,B,"0,30%",A,"91,07%",B,"2,32%",B,Bicf
1504752,Mojuí dos Campos,PA,n.d.,"11,27%",A,n.d.,n.d.,"-14,33%",C,Bicf
1504802,Monte Alegre,PA,C,"9,74%",A,"100,99%",C,"-20,52%",C,Cicf
1504901,Muaná,PA,C,"0,01%",A,"88,13%",B,"-5,71%",C,Bicf
1504950,Nova Esperança do Piriá,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1504976,Nova Ipixuna,PA,C,"14,35%",A,"105,24%",C,"-28,24%",C,Bicf
1505007,Nova Timboteua,PA,C,"0,57%",A,"94,26%",B,"-2,47%",C,Bicf
1505031,Novo Progresso,PA,B,"9,79%",A,"86,62%",B,"3,77%",B,Bicf
1505064,Novo Repartimento,PA,C,"16,00%",A,"100,55%",C,"-8,23%",C,Bicf
1505106,Óbidos,PA,C,"22,86%",A,"100,00%",C,"-5,99%",C,Bicf
1505205,Oeiras do Pará,PA,C,"28,80%",A,"97,92%",C,"-5,85%",C,Cicf
1505304,Oriximiná,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
1505403,Ourém,PA,C,"34,44%",A,"94,76%",B,"-4,85%",C,Bicf
1505437,Ourilândia do Norte,PA,A,"0,00%",A,"83,23%",A,"6,47%",A,Cicf
1505486,Pacajá,PA,C,"0,00%",A,"94,62%",B,"-28,88%",C,Bicf
1505494,Palestina do Pará,PA,n.d.,"0,00%",A,"100,54%",C,n.d.,n.d.,Bicf
1505502,Paragominas,PA,C,"5,52%",A,"90,32%",B,"-7,46%",C,Bicf
1505536,Parauapebas,PA,C,"42,86%",A,"83,89%",A,"-1,51%",C,Bicf
1505551,Pau D'Arco,PA,n.d.,"0,00%",A,"95,14%",C,n.d.,n.d.,Bicf
1505601,Peixe-Boi,PA,C,"1,70%",A,"86,72%",B,"-1,86%",C,Bicf
1505635,Piçarra,PA,C,"13,41%",A,"100,03%",C,"-10,62%",C,Bicf
1505650,Placas,PA,C,"0,42%",A,"91,47%",B,"-3,66%",C,Bicf
1505700,Ponta de Pedras,PA,C,"1,09%",A,"99,45%",C,"-6,54%",C,Bicf
1505809,Portel,PA,C,"23,01%",A,"95,30%",C,"-13,94%",C,Bicf
1505908,Porto de Moz,PA,C,"0,70%",A,"88,09%",B,"-6,93%",C,Bicf
1506005,Prainha,PA,n.e.,"1,43%",A,n.d.,n.d.,n.d.,n.d.,Eicf
1506104,Primavera,PA,C,"1,25%",A,"97,32%",C,"-30,90%",C,Bicf
1506112,Quatipuru,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1506138,Redenção,PA,C,"7,79%",A,"89,18%",B,"0,00%",C,Cicf
1506161,Rio Maria,PA,C,"8,59%",A,"98,42%",C,"-0,66%",C,Cicf
1506187,Rondon do Pará,PA,C,"2,67%",A,"95,45%",C,"2,06%",B,Bicf
1506195,Rurópolis,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
1506203,Salinópolis,PA,C,"48,63%",A,"91,37%",B,"-29,72%",C,Bicf
1506302,Salvaterra,PA,n.d.,n.d.,n.d.,"69,49%",A,n.d.,n.d.,Cicf
1506351,Santa Bárbara do Pará,PA,C,"0,16%",A,"98,06%",C,"7,61%",A,Bicf
1506401,Santa Cruz do Arari,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1506500,Santa Izabel do Pará,PA,C,"22,34%",A,"91,54%",B,"-4,31%",C,Bicf
1506559,Santa Luzia do Pará,PA,C,"1,33%",A,"93,59%",B,"-11,27%",C,Bicf
1506583,Santa Maria das Barreiras,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Cicf
1506609,Santa Maria do Pará,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Cicf
1506708,Santana do Araguaia,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Dicf
1506807,Santarém,PA,C,"11,14%",A,"86,02%",B,"0,00%",C,Bicf
1506906,Santarém Novo,PA,n.e.,"109,15%",C,n.d.,n.d.,"-57,29%",C,Eicf
1507003,Santo Antônio do Tauá,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
1507102,São Caetano de Odivelas,PA,C,"1,55%",A,"121,41%",C,"-26,88%",C,Bicf
1507151,São Domingos do Araguaia,PA,C,"53,90%",A,"101,85%",C,"-22,73%",C,Bicf
1507201,São Domingos do Capim,PA,C,"1,33%",A,"93,43%",B,"-0,61%",C,Bicf
1507300,São Félix do Xingu,PA,C,"0,00%",A,"97,67%",C,"-0,29%",C,Bicf
1507409,São Francisco do Pará,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
1507458,São Geraldo do Araguaia,PA,C,"0,00%",A,"96,74%",C,"-8,52%",C,Bicf
1507466,São João da Ponta,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
1507474,São João de Pirabas,PA,C,"11,20%",A,"99,21%",C,"-31,29%",C,Cicf
1507508,São João do Araguaia,PA,n.d.,"11,57%",A,"102,24%",C,n.d.,n.d.,Bicf
1507607,São Miguel do Guamá,PA,C,"0,18%",A,"91,72%",B,"-19,15%",C,Bicf
1507706,São Sebastião da Boa Vista,PA,n.d.,n.d.,n.d.,"91,11%",B,n.d.,n.d.,Bicf
1507755,Sapucaia,PA,C,"0,00%",A,"97,12%",C,"0,00%",C,Cicf
1507805,Senador José Porfírio,PA,C,"8,14%",A,"90,49%",B,"-0,95%",C,Bicf
1507904,Soure,PA,B,"4,89%",A,"93,03%",B,"1,08%",B,Cicf
1507953,Tailândia,PA,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Bicf
1507961,Terra Alta,PA,n.e.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Eicf
1507979,Terra Santa,PA,C,"4,01%",A,"91,92%",B,"-8,04%",C,Bicf
1508001,Tomé-Açu,PA,B,"17,33%",A,"92,91%",B,"3,88%",B,Bicf
1508035,Tracuateua,PA,C,"0,37%",A,"95,94%",C,"-21,77%",C,Bicf
1508050,Trairão,PA,A,"7,04%",A,"90,19%",B,"6,17%",A,Bicf
1508084,Tucumã,PA,A,"8,93%",A,"82,33%",A,"62,19%",A,Bicf
1508100,Tucuruí,PA,C,"0,10%",A,"88,79%",B,"-6,56%",C,Bicf
